application_number,loan_assessment_date,group,default,credit_score,,,,,
2974,01/08/2013,D,1,5,,,,,
2976,16/04/2013,D,1,5,,,,,
2977,01/03/2014,D,0,7,,,,,
2979,05/08/2013,D,0,8,,,,,
2982,04/01/2013,D,1,9,,,,,
2983,19/01/2014,A,0,4,,,,,
2984,01/08/2013,D,0,3,,,,,
2985,10/10/2014,A,1,1,,,,,
2988,18/11/2013,A,0,1,,,,,
2990,09/12/2013,A,0,1,,,,,
2991,15/11/2013,D,1,3,,,,,
2992,25/03/2014,D,0,1,,,,,
2995,18/03/2013,D,1,9,,,,,
2997,07/04/2013,D,1,9,,,,,
3003,18/08/2013,D,0,4,,,,,
3004,18/07/2014,D,1,8,,,,,
3005,25/05/2013,D,0,6,,,,,
3008,08/01/2014,A,1,2,,,,,
3010,03/10/2013,A,0,1,,,,,
3014,22/06/2014,D,1,7,,,,,
3015,11/12/2013,A,1,1,,,,,
3019,11/02/2014,A,1,2,,,,,
3020,26/02/2013,D,0,9,,,,,
3021,06/11/2014,D,1,8,,,,,
3022,17/01/2013,D,0,5,,,,,
3023,01/05/2013,D,1,9,,,,,
3025,19/11/2013,D,0,5,,,,,
3027,06/01/2013,D,1,1,,,,,
3029,04/10/2014,D,1,10,,,,,
3030,29/04/2013,D,0,3,,,,,
3031,23/05/2014,A,1,10,,,,,
3032,04/02/2013,D,0,4,,,,,
3034,01/05/2013,D,0,1,,,,,
3035,10/01/2013,A,0,4,,,,,
3036,20/03/2014,D,0,1,,,,,
3038,06/09/2013,A,0,3,,,,,
3039,01/05/2014,A,1,1,,,,,
3040,06/11/2013,D,0,1,,,,,
3041,28/01/2013,A,1,3,,,,,
3042,09/03/2013,D,0,1,,,,,
3043,12/07/2013,D,0,7,,,,,
3046,09/08/2013,D,0,4,,,,,
3051,18/01/2013,D,0,1,,,,,
3053,16/09/2013,D,0,2,,,,,
3055,24/01/2013,D,0,2,,,,,
3056,05/03/2014,D,0,3,,,,,
3057,14/07/2014,D,1,7,,,,,
3058,17/02/2013,D,1,5,,,,,
3064,02/02/2014,A,0,1,,,,,
3066,01/04/2013,D,0,4,,,,,
3067,09/05/2014,D,1,10,,,,,
3068,01/03/2013,D,0,7,,,,,
3069,29/05/2013,A,0,2,,,,,
3071,01/10/2013,D,1,2,,,,,
3074,29/01/2013,A,0,1,,,,,
3075,05/09/2013,A,0,1,,,,,
3078,12/08/2013,A,0,2,,,,,
3081,18/02/2014,D,1,2,,,,,
3084,12/12/2013,D,0,4,,,,,
3085,02/05/2013,D,0,5,,,,,
3087,06/09/2014,D,1,7,,,,,
3089,14/04/2013,D,0,4,,,,,
3090,27/01/2013,D,0,6,,,,,
3093,20/08/2013,A,0,5,,,,,
3094,13/03/2013,D,1,10,,,,,
3096,18/08/2013,D,1,1,,,,,
3101,16/01/2013,D,0,2,,,,,
3107,28/03/2014,A,0,1,,,,,
3110,14/06/2014,A,1,4,,,,,
3111,01/04/2013,D,0,9,,,,,
3112,22/05/2013,D,1,8,,,,,
3115,09/10/2013,D,0,4,,,,,
3116,18/01/2013,D,1,10,,,,,
3117,03/11/2014,D,1,6,,,,,
3118,27/04/2013,D,1,4,,,,,
3122,19/05/2013,A,1,4,,,,,
3129,30/10/2013,D,0,2,,,,,
3130,07/05/2013,D,1,6,,,,,
3134,31/01/2014,D,1,4,,,,,
3135,04/02/2013,D,0,8,,,,,
3136,17/02/2014,A,0,1,,,,,
3137,24/02/2013,A,1,8,,,,,
3138,14/08/2013,D,1,6,,,,,
3143,25/09/2013,A,1,8,,,,,
3144,03/09/2014,D,1,7,,,,,
3145,14/12/2014,D,1,5,,,,,
3152,11/12/2013,A,0,8,,,,,
3153,22/04/2013,A,0,3,,,,,
3156,04/10/2013,A,0,1,,,,,
3157,15/01/2013,A,0,4,,,,,
3158,20/03/2013,D,0,9,,,,,
3159,23/12/2013,A,0,2,,,,,
3160,06/04/2013,D,1,6,,,,,
3162,11/04/2014,A,1,7,,,,,
3163,09/09/2013,A,0,3,,,,,
3164,04/06/2014,D,1,6,,,,,
3165,13/10/2013,A,1,5,,,,,
3166,10/11/2014,A,1,2,,,,,
3168,04/08/2013,D,1,10,,,,,
3169,02/12/2013,A,0,1,,,,,
3170,16/05/2014,D,1,8,,,,,
3175,20/03/2014,A,1,1,,,,,
3176,19/10/2013,D,0,5,,,,,
3177,09/05/2013,D,1,2,,,,,
3178,09/11/2014,A,1,8,,,,,
3181,01/02/2013,A,1,7,,,,,
3182,03/01/2013,D,0,5,,,,,
3183,15/02/2014,D,1,4,,,,,
3186,26/11/2013,A,0,3,,,,,
3189,03/04/2013,D,1,9,,,,,
3190,12/01/2013,D,0,3,,,,,
3191,27/08/2013,D,0,4,,,,,
3192,29/04/2013,A,0,1,,,,,
3200,21/01/2013,D,1,1,,,,,
3203,09/10/2013,A,0,8,,,,,
3205,22/01/2013,A,0,1,,,,,
3206,03/09/2013,D,0,6,,,,,
3208,12/01/2014,D,0,2,,,,,
3209,26/04/2013,D,1,6,,,,,
3212,22/11/2014,D,1,7,,,,,
3215,16/11/2013,A,0,1,,,,,
3217,24/03/2014,A,0,2,,,,,
3222,24/10/2013,D,0,7,,,,,
3223,21/11/2014,A,1,9,,,,,
3225,28/12/2014,D,1,9,,,,,
3226,11/02/2013,D,1,8,,,,,
3227,06/12/2014,A,1,6,,,,,
3229,09/02/2013,A,0,5,,,,,
3230,07/01/2014,D,0,4,,,,,
3232,22/03/2014,D,0,1,,,,,
3234,21/03/2013,A,0,1,,,,,
3236,22/02/2014,D,1,10,,,,,
3237,03/12/2013,A,0,1,,,,,
3238,23/03/2013,D,1,10,,,,,
3240,08/12/2013,D,0,7,,,,,
3242,16/01/2013,D,0,7,,,,,
3243,14/01/2013,D,1,8,,,,,
3246,20/11/2013,A,0,3,,,,,
3247,26/04/2013,A,0,6,,,,,
3248,26/03/2014,A,1,1,,,,,
3250,10/12/2013,A,0,1,,,,,
3255,01/10/2013,D,1,2,,,,,
3260,20/03/2013,D,1,6,,,,,
3261,10/09/2013,A,0,1,,,,,
3262,17/10/2013,D,1,6,,,,,
3265,28/04/2013,A,0,1,,,,,
3267,03/08/2013,D,0,2,,,,,
3268,25/03/2013,A,1,7,,,,,
3270,26/12/2014,D,1,10,,,,,
3272,10/08/2013,D,1,10,,,,,
3273,15/11/2014,D,1,9,,,,,
3274,20/06/2013,D,0,6,,,,,
3278,22/04/2014,D,1,10,,,,,
3280,09/11/2013,D,1,5,,,,,
3281,20/04/2013,A,1,4,,,,,
3283,09/02/2014,A,0,1,,,,,
3284,24/08/2013,A,1,9,,,,,
3285,06/04/2013,D,1,5,,,,,
3287,07/10/2013,D,1,8,,,,,
3288,30/10/2013,D,1,4,,,,,
3289,19/02/2013,D,0,6,,,,,
3290,13/03/2013,D,0,4,,,,,
3291,17/01/2013,D,1,2,,,,,
3293,15/07/2013,A,0,3,,,,,
3298,26/01/2013,A,0,5,,,,,
3299,12/01/2013,D,1,2,,,,,
3300,20/09/2013,A,1,7,,,,,
3301,02/10/2013,D,0,2,,,,,
3302,20/12/2013,A,1,5,,,,,
3304,16/02/2013,D,0,2,,,,,
3305,07/05/2013,A,1,2,,,,,
3306,10/03/2013,A,0,3,,,,,
3309,25/05/2014,A,1,5,,,,,
3312,13/01/2013,A,0,1,,,,,
3314,05/09/2013,A,0,4,,,,,
3315,05/10/2013,A,0,1,,,,,
3316,19/08/2013,A,1,8,,,,,
3318,07/03/2013,A,0,6,,,,,
3319,25/12/2013,A,0,2,,,,,
3320,17/12/2013,A,0,4,,,,,
3322,20/06/2014,D,1,4,,,,,
3323,06/11/2013,D,1,8,,,,,
3324,12/02/2013,A,0,1,,,,,
3326,03/01/2013,D,0,10,,,,,
3328,23/01/2013,D,1,6,,,,,
3329,07/10/2013,A,1,4,,,,,
3331,12/01/2013,D,1,10,,,,,
3332,05/09/2013,D,0,1,,,,,
3333,07/02/2013,A,1,1,,,,,
3337,05/11/2014,D,1,8,,,,,
3338,16/12/2013,D,0,6,,,,,
3339,22/02/2013,A,0,1,,,,,
3340,01/04/2014,D,1,7,,,,,
3341,15/05/2013,D,0,6,,,,,
3342,14/06/2014,D,1,1,,,,,
3343,21/06/2013,D,1,3,,,,,
3344,01/04/2013,D,1,7,,,,,
3345,26/01/2013,A,0,3,,,,,
3347,01/06/2014,D,1,3,,,,,
3348,04/10/2013,A,1,4,,,,,
3349,26/05/2013,D,1,3,,,,,
3350,05/11/2013,D,0,1,,,,,
3351,28/03/2014,D,1,4,,,,,
3354,06/09/2013,D,1,2,,,,,
3356,17/01/2014,A,0,1,,,,,
3357,29/03/2014,D,0,4,,,,,
3358,11/03/2014,D,0,1,,,,,
3359,23/11/2014,D,1,9,,,,,
3360,04/09/2013,D,1,7,,,,,
3361,07/10/2013,D,0,6,,,,,
3362,16/04/2014,D,1,9,,,,,
3369,15/11/2013,D,1,9,,,,,
3371,22/08/2013,D,0,3,,,,,
3377,28/09/2013,A,0,1,,,,,
3380,30/09/2013,D,0,4,,,,,
3381,04/06/2014,D,1,2,,,,,
3383,09/07/2014,D,1,5,,,,,
3384,05/09/2013,A,0,8,,,,,
3385,10/03/2013,D,0,9,,,,,
3386,08/11/2013,A,1,5,,,,,
3387,03/06/2013,D,1,1,,,,,
3390,06/08/2013,A,0,1,,,,,
3391,25/03/2013,D,1,8,,,,,
3392,09/03/2013,A,0,1,,,,,
3393,09/05/2013,D,1,6,,,,,
3394,22/10/2014,A,1,8,,,,,
3396,16/02/2014,D,0,5,,,,,
3397,19/10/2013,D,0,7,,,,,
3398,19/04/2013,D,1,10,,,,,
3399,21/02/2013,D,0,10,,,,,
3401,02/12/2013,D,1,1,,,,,
3403,07/02/2013,D,1,4,,,,,
3404,01/07/2013,D,0,1,,,,,
3405,20/03/2013,D,0,2,,,,,
3406,10/01/2014,A,1,8,,,,,
3407,10/02/2014,A,0,1,,,,,
3408,02/11/2014,A,1,3,,,,,
3409,10/01/2014,D,0,6,,,,,
3410,24/02/2013,D,0,3,,,,,
3411,09/01/2014,A,0,2,,,,,
3412,04/02/2013,A,0,2,,,,,
3413,22/04/2014,A,1,4,,,,,
3415,12/04/2013,D,1,5,,,,,
3417,13/02/2014,A,0,3,,,,,
3418,30/10/2013,D,1,2,,,,,
3419,11/01/2013,D,1,5,,,,,
3420,06/05/2013,D,0,2,,,,,
3422,16/10/2013,A,1,5,,,,,
3423,15/04/2013,A,0,2,,,,,
3426,16/05/2014,D,1,10,,,,,
3427,16/03/2014,A,0,1,,,,,
3429,19/01/2013,D,1,6,,,,,
3431,14/01/2013,D,0,2,,,,,
3434,16/07/2014,D,1,10,,,,,
3437,27/08/2013,A,0,6,,,,,
3438,20/04/2013,A,1,6,,,,,
3439,24/02/2013,A,0,1,,,,,
3440,28/04/2013,D,1,8,,,,,
3441,21/09/2013,A,1,7,,,,,
3442,09/09/2013,D,1,8,,,,,
3444,23/11/2013,A,1,2,,,,,
3445,04/10/2013,A,0,3,,,,,
3446,07/01/2013,D,1,6,,,,,
3448,09/12/2013,D,1,7,,,,,
3449,17/01/2013,D,1,8,,,,,
3451,31/01/2013,A,0,2,,,,,
3452,02/08/2013,D,0,1,,,,,
3453,13/08/2013,D,1,3,,,,,
3454,08/02/2013,D,1,3,,,,,
3455,25/02/2013,D,0,3,,,,,
3456,01/01/2013,D,1,8,,,,,
3457,17/03/2014,D,0,1,,,,,
3458,26/01/2013,A,0,2,,,,,
3460,16/09/2013,D,1,6,,,,,
3462,02/02/2014,A,1,1,,,,,
3463,10/02/2014,A,0,3,,,,,
3464,13/04/2013,A,1,5,,,,,
3468,15/10/2013,D,1,10,,,,,
3470,10/11/2014,D,1,2,,,,,
3474,24/06/2013,A,1,3,,,,,
3475,30/03/2013,A,0,5,,,,,
3476,23/02/2013,D,1,8,,,,,
3479,15/07/2014,D,1,10,,,,,
3480,03/01/2013,D,0,2,,,,,
3481,08/07/2014,D,1,4,,,,,
3483,10/10/2013,A,0,1,,,,,
3484,29/10/2013,D,1,7,,,,,
3485,26/09/2013,D,1,2,,,,,
3487,29/05/2013,A,0,6,,,,,
3488,15/07/2013,A,0,1,,,,,
3489,07/02/2013,D,0,9,,,,,
3492,10/03/2014,D,0,7,,,,,
3493,02/04/2013,D,0,2,,,,,
3498,22/04/2013,D,1,4,,,,,
3499,07/01/2013,D,1,10,,,,,
3500,19/03/2013,A,0,6,,,,,
3501,14/11/2014,D,1,10,,,,,
3504,28/06/2013,D,0,4,,,,,
3506,23/08/2013,D,0,8,,,,,
3508,14/03/2014,D,0,5,,,,,
3510,17/12/2014,A,1,9,,,,,
3511,20/03/2014,A,0,3,,,,,
3512,10/04/2013,D,1,7,,,,,
3515,07/01/2014,A,0,1,,,,,
3519,09/09/2013,D,1,3,,,,,
3521,23/01/2014,D,1,10,,,,,
3523,13/02/2014,A,0,1,,,,,
3525,19/04/2013,A,0,2,,,,,
3528,20/08/2013,D,0,3,,,,,
3531,08/02/2013,A,0,3,,,,,
3533,23/03/2013,A,1,10,,,,,
3534,27/06/2013,A,0,1,,,,,
3535,19/04/2013,A,0,2,,,,,
3536,08/09/2014,A,1,2,,,,,
3538,14/12/2013,D,0,2,,,,,
3539,13/04/2013,D,0,5,,,,,
3540,09/10/2013,A,1,2,,,,,
3541,23/01/2014,D,0,1,,,,,
3542,28/03/2014,A,1,6,,,,,
3543,13/08/2014,A,1,1,,,,,
3544,14/01/2014,D,1,2,,,,,
3547,09/03/2013,D,0,4,,,,,
3550,08/04/2013,D,1,7,,,,,
3551,23/09/2014,D,1,6,,,,,
3552,14/03/2014,A,0,3,,,,,
3554,26/01/2013,A,0,1,,,,,
3560,06/11/2013,A,0,3,,,,,
3562,16/02/2013,D,0,1,,,,,
3563,23/12/2013,D,1,7,,,,,
3564,22/02/2013,D,1,7,,,,,
3566,01/08/2013,A,0,9,,,,,
3568,19/02/2013,A,0,7,,,,,
3570,28/11/2014,A,1,1,,,,,
3571,12/04/2013,A,1,8,,,,,
3573,24/10/2013,D,0,1,,,,,
3574,01/05/2013,D,1,3,,,,,
3576,13/03/2013,A,0,2,,,,,
3577,06/02/2014,D,0,3,,,,,
3584,01/02/2014,A,0,5,,,,,
3585,16/03/2014,A,1,1,,,,,
3593,27/09/2013,A,0,4,,,,,
3594,01/04/2014,D,1,4,,,,,
3596,04/05/2013,A,0,1,,,,,
3597,23/12/2013,A,1,5,,,,,
3598,19/04/2013,D,0,1,,,,,
3601,16/04/2013,D,1,7,,,,,
3602,19/05/2013,D,1,8,,,,,
3603,03/01/2013,D,1,6,,,,,
3605,11/11/2013,D,0,1,,,,,
3607,05/04/2014,A,1,3,,,,,
3611,03/10/2013,A,0,6,,,,,
3614,14/09/2013,D,1,9,,,,,
3616,20/09/2014,D,1,7,,,,,
3617,29/12/2013,D,0,1,,,,,
3618,15/06/2014,A,1,8,,,,,
3619,06/08/2013,D,0,2,,,,,
3620,16/12/2013,A,0,1,,,,,
3622,17/01/2013,D,1,10,,,,,
3624,21/03/2013,D,1,7,,,,,
3626,12/02/2014,A,0,7,,,,,
3627,26/01/2013,A,0,7,,,,,
3628,07/10/2014,D,1,6,,,,,
3629,20/02/2013,D,1,7,,,,,
3630,11/05/2013,A,0,1,,,,,
3631,08/02/2014,A,0,1,,,,,
3634,29/03/2013,A,0,3,,,,,
3635,12/03/2013,D,0,4,,,,,
3636,12/05/2013,D,0,6,,,,,
3639,07/08/2013,D,0,2,,,,,
3641,26/01/2014,A,0,6,,,,,
3642,07/02/2014,D,1,4,,,,,
3643,12/02/2014,D,1,6,,,,,
3645,18/11/2013,A,0,1,,,,,
3646,03/12/2014,A,1,7,,,,,
3647,24/12/2013,D,0,3,,,,,
3648,24/03/2014,D,1,6,,,,,
3649,10/05/2014,D,1,8,,,,,
3652,10/01/2014,D,1,4,,,,,
3653,10/01/2013,D,0,2,,,,,
3655,31/03/2013,D,0,4,,,,,
3656,25/04/2013,D,0,9,,,,,
3657,16/02/2014,D,0,4,,,,,
3659,27/02/2013,A,0,1,,,,,
3661,02/05/2014,D,1,6,,,,,
3662,25/03/2013,D,0,7,,,,,
3663,31/01/2013,D,1,6,,,,,
3666,05/01/2014,D,0,2,,,,,
3667,15/01/2013,D,0,5,,,,,
3668,25/10/2013,D,0,5,,,,,
3669,10/03/2014,A,1,7,,,,,
3671,13/04/2013,A,0,1,,,,,
3674,16/02/2014,D,0,2,,,,,
3675,13/09/2013,D,1,6,,,,,
3676,06/06/2013,D,0,5,,,,,
3678,12/09/2013,A,0,2,,,,,
3679,11/12/2013,A,1,3,,,,,
3681,02/05/2013,D,0,9,,,,,
3684,18/12/2013,D,1,7,,,,,
3685,27/01/2013,D,1,9,,,,,
3687,02/07/2014,D,1,1,,,,,
3692,20/02/2013,D,1,2,,,,,
3693,15/03/2014,D,0,2,,,,,
3696,31/01/2013,D,1,9,,,,,
3697,27/01/2013,A,0,1,,,,,
3698,11/11/2013,A,0,1,,,,,
3699,13/02/2013,A,0,2,,,,,
3700,01/01/2014,D,1,4,,,,,
3701,23/10/2013,D,0,4,,,,,
3702,08/02/2013,A,1,8,,,,,
3703,20/10/2013,A,0,1,,,,,
3705,11/02/2014,A,0,1,,,,,
3706,09/04/2013,D,0,1,,,,,
3709,14/04/2013,D,0,1,,,,,
3710,02/12/2014,D,1,7,,,,,
3711,14/04/2013,A,1,2,,,,,
3712,05/03/2013,D,0,1,,,,,
3713,06/02/2013,D,1,6,,,,,
3714,05/04/2013,A,0,1,,,,,
3716,02/05/2013,D,0,7,,,,,
3719,30/01/2013,D,0,9,,,,,
3720,24/03/2013,A,1,9,,,,,
3721,10/10/2013,A,0,1,,,,,
3722,11/01/2014,D,1,7,,,,,
3725,22/12/2013,D,1,8,,,,,
3729,01/12/2013,D,0,1,,,,,
3732,09/09/2013,D,0,1,,,,,
3736,01/08/2013,A,0,2,,,,,
3737,20/02/2014,A,0,2,,,,,
3738,31/12/2013,A,0,9,,,,,
3739,21/11/2013,A,0,1,,,,,
3740,23/12/2013,D,0,4,,,,,
3741,07/01/2014,D,0,5,,,,,
3742,22/06/2014,D,1,8,,,,,
3743,26/08/2013,D,0,4,,,,,
3744,03/01/2013,D,0,1,,,,,
3745,17/11/2013,A,1,6,,,,,
3747,26/05/2013,A,0,6,,,,,
3749,14/03/2013,D,1,8,,,,,
3751,13/05/2013,D,1,10,,,,,
3754,11/02/2014,D,1,6,,,,,
3757,23/08/2014,A,1,2,,,,,
3758,27/02/2014,D,0,2,,,,,
3759,29/01/2013,D,0,8,,,,,
3761,08/03/2014,D,1,5,,,,,
3763,15/07/2014,D,1,9,,,,,
3765,01/08/2013,A,1,9,,,,,
3766,26/02/2014,A,1,2,,,,,
3767,13/05/2014,A,1,5,,,,,
3768,02/01/2013,D,0,1,,,,,
3769,24/01/2013,A,0,1,,,,,
3771,22/03/2013,D,1,9,,,,,
3772,16/02/2014,A,1,5,,,,,
3774,31/05/2013,A,0,1,,,,,
3776,17/09/2013,A,0,1,,,,,
3778,15/03/2013,A,1,2,,,,,
3779,19/03/2014,D,0,5,,,,,
3780,04/03/2013,A,0,3,,,,,
3781,07/02/2014,D,0,5,,,,,
3782,09/09/2014,D,1,10,,,,,
3783,01/11/2013,A,0,1,,,,,
3785,23/01/2013,A,1,3,,,,,
3787,14/08/2013,D,1,7,,,,,
3788,23/08/2013,A,0,4,,,,,
3789,21/03/2013,A,0,1,,,,,
3790,19/08/2013,A,0,3,,,,,
3792,01/10/2013,A,0,4,,,,,
3793,13/09/2013,A,1,4,,,,,
3794,30/04/2014,D,1,7,,,,,
3797,19/05/2013,D,1,6,,,,,
3799,07/01/2013,D,0,2,,,,,
3800,09/03/2013,D,1,7,,,,,
3801,13/05/2013,A,0,1,,,,,
3802,19/10/2014,D,1,1,,,,,
3804,26/11/2013,D,0,1,,,,,
3805,05/10/2014,A,1,2,,,,,
3807,10/02/2014,A,1,5,,,,,
3809,14/09/2014,A,1,4,,,,,
3811,03/08/2014,D,1,2,,,,,
3812,11/01/2013,D,1,5,,,,,
3814,03/04/2013,D,0,4,,,,,
3817,22/12/2013,D,1,8,,,,,
3818,07/02/2013,D,0,4,,,,,
3821,03/05/2013,D,0,3,,,,,
3824,12/09/2013,D,1,5,,,,,
3826,12/03/2013,D,1,9,,,,,
3828,24/01/2013,A,1,6,,,,,
3830,08/12/2013,D,0,2,,,,,
3831,22/03/2013,A,1,8,,,,,
3834,13/06/2013,D,0,6,,,,,
3835,20/09/2013,A,0,1,,,,,
3836,16/12/2013,A,0,3,,,,,
3838,20/03/2013,D,0,1,,,,,
3839,30/12/2013,D,1,3,,,,,
3840,06/01/2013,D,0,10,,,,,
3841,03/11/2013,A,0,2,,,,,
3847,01/03/2013,D,1,7,,,,,
3848,28/03/2013,D,1,8,,,,,
3853,09/05/2013,D,0,5,,,,,
3854,17/01/2013,D,1,3,,,,,
3855,27/03/2013,A,0,1,,,,,
3856,17/04/2013,D,0,3,,,,,
3857,27/08/2013,D,0,2,,,,,
3858,26/10/2014,D,1,6,,,,,
3860,13/01/2013,A,0,1,,,,,
3862,10/01/2014,A,0,1,,,,,
3863,02/01/2013,A,0,2,,,,,
3864,31/03/2014,A,0,1,,,,,
3865,17/02/2014,D,0,10,,,,,
3867,06/02/2014,D,0,5,,,,,
3869,23/09/2013,D,0,4,,,,,
3870,05/11/2014,D,1,10,,,,,
3872,25/02/2014,A,0,4,,,,,
3879,08/01/2014,A,0,2,,,,,
3880,30/03/2013,D,1,6,,,,,
3881,19/01/2013,D,1,5,,,,,
3882,18/09/2013,A,0,3,,,,,
3884,06/09/2013,A,1,3,,,,,
3885,15/09/2014,A,1,1,,,,,
3888,25/01/2013,D,0,2,,,,,
3891,07/03/2013,D,1,8,,,,,
3897,09/05/2014,A,1,3,,,,,
3898,04/06/2013,A,0,1,,,,,
3899,03/04/2013,D,1,8,,,,,
3902,02/01/2014,A,0,4,,,,,
3903,18/12/2013,D,1,9,,,,,
3904,04/02/2013,D,0,2,,,,,
3906,08/05/2013,D,1,8,,,,,
3909,26/12/2014,A,1,8,,,,,
3910,05/07/2014,D,1,5,,,,,
3912,14/01/2013,A,0,2,,,,,
3917,15/01/2013,D,1,3,,,,,
3918,09/09/2014,D,1,1,,,,,
3924,03/01/2013,D,1,6,,,,,
3925,13/03/2014,D,1,3,,,,,
3929,16/10/2014,D,1,4,,,,,
3930,23/02/2013,A,0,2,,,,,
3933,21/07/2014,D,1,9,,,,,
3934,27/01/2013,D,1,5,,,,,
3935,25/08/2013,D,0,6,,,,,
3936,06/08/2014,D,1,10,,,,,
3938,25/01/2013,A,0,6,,,,,
3939,25/04/2013,D,1,10,,,,,
3941,06/01/2014,A,0,3,,,,,
3942,02/01/2014,D,1,1,,,,,
3946,17/03/2014,D,1,2,,,,,
3948,21/03/2013,D,0,5,,,,,
3950,18/12/2013,A,1,9,,,,,
3952,28/01/2013,A,0,4,,,,,
3958,25/12/2013,A,0,1,,,,,
3960,24/10/2013,D,0,2,,,,,
3963,19/02/2014,A,0,1,,,,,
3965,07/01/2014,A,0,1,,,,,
3966,22/08/2014,D,1,8,,,,,
3969,07/03/2013,D,1,10,,,,,
3972,26/08/2013,A,0,7,,,,,
3973,20/03/2013,A,1,1,,,,,
3974,10/10/2013,D,0,3,,,,,
3975,21/12/2013,A,0,2,,,,,
3976,28/04/2014,D,1,7,,,,,
3977,02/12/2013,A,0,1,,,,,
3978,03/01/2013,A,0,3,,,,,
3979,11/02/2013,A,0,3,,,,,
3980,20/02/2013,D,1,7,,,,,
3981,22/05/2014,D,1,5,,,,,
3982,26/02/2013,D,0,1,,,,,
3984,24/01/2013,A,0,7,,,,,
3987,16/08/2014,A,1,5,,,,,
3988,17/04/2013,D,1,3,,,,,
3990,09/10/2014,D,1,4,,,,,
3995,19/03/2013,D,1,3,,,,,
3997,22/07/2014,D,1,7,,,,,
3998,18/07/2014,D,1,1,,,,,
3999,26/02/2013,D,0,1,,,,,
4000,08/12/2014,D,1,9,,,,,
4001,01/08/2014,D,1,5,,,,,
4002,09/03/2013,D,0,5,,,,,
4003,19/05/2013,A,0,2,,,,,
4004,23/09/2013,D,0,3,,,,,
4005,18/09/2013,A,0,2,,,,,
4006,16/02/2013,A,0,1,,,,,
4007,29/11/2014,D,1,10,,,,,
4010,02/02/2014,D,0,6,,,,,
4011,08/07/2013,A,0,6,,,,,
4012,22/03/2013,D,0,7,,,,,
4013,16/04/2014,A,1,9,,,,,
4014,01/03/2014,D,1,8,,,,,
4016,12/02/2014,A,0,7,,,,,
4018,02/04/2013,D,0,1,,,,,
4021,06/06/2013,D,0,1,,,,,
4022,27/02/2014,A,0,7,,,,,
4023,17/09/2013,A,0,1,,,,,
4024,14/01/2013,D,1,8,,,,,
4028,14/10/2013,D,0,4,,,,,
4031,04/09/2013,D,0,1,,,,,
4032,08/02/2013,A,0,4,,,,,
4033,07/02/2013,D,0,8,,,,,
4035,04/04/2013,D,1,3,,,,,
4036,26/03/2013,D,0,5,,,,,
4037,09/03/2014,A,1,8,,,,,
4038,15/03/2014,A,1,6,,,,,
4041,11/01/2014,D,0,7,,,,,
4045,26/04/2013,A,1,3,,,,,
4047,09/10/2013,D,0,6,,,,,
4048,30/04/2013,A,1,8,,,,,
4049,13/10/2014,A,1,6,,,,,
4052,05/01/2013,D,0,5,,,,,
4054,30/03/2013,D,0,3,,,,,
4058,23/05/2013,A,0,1,,,,,
4059,06/03/2013,D,1,5,,,,,
4060,29/04/2013,D,1,2,,,,,
4061,13/01/2013,A,0,1,,,,,
4062,16/08/2013,A,1,2,,,,,
4063,12/11/2014,A,1,4,,,,,
4064,18/03/2014,A,0,4,,,,,
4065,04/04/2013,A,1,4,,,,,
4067,26/01/2014,A,1,4,,,,,
4068,12/08/2013,A,0,1,,,,,
4069,23/09/2013,A,1,4,,,,,
4070,02/02/2014,D,0,1,,,,,
4072,04/10/2013,D,0,1,,,,,
4073,06/03/2013,A,0,2,,,,,
4075,08/04/2013,D,0,5,,,,,
4076,18/02/2013,D,0,6,,,,,
4080,30/10/2013,D,0,5,,,,,
4081,08/03/2014,A,0,3,,,,,
4082,26/03/2014,A,1,5,,,,,
4084,22/04/2013,D,0,9,,,,,
4085,19/02/2013,A,0,3,,,,,
4086,24/01/2014,D,1,10,,,,,
4087,03/03/2014,D,0,6,,,,,
4088,14/02/2013,D,0,3,,,,,
4098,28/04/2014,D,1,4,,,,,
4099,19/02/2014,D,0,4,,,,,
4100,22/01/2013,A,1,8,,,,,
4101,25/09/2013,D,1,10,,,,,
4102,24/05/2013,D,0,9,,,,,
4104,15/02/2014,D,1,1,,,,,
4105,19/05/2014,A,1,9,,,,,
4106,18/01/2014,A,1,6,,,,,
4108,06/02/2013,D,1,9,,,,,
4111,07/01/2014,D,0,8,,,,,
4112,05/09/2013,D,0,3,,,,,
4116,06/03/2013,D,1,2,,,,,
4117,21/02/2013,A,0,1,,,,,
4118,16/01/2013,A,1,6,,,,,
4119,04/04/2013,A,1,6,,,,,
4120,22/10/2013,A,0,1,,,,,
4122,09/04/2013,A,0,6,,,,,
4123,17/12/2013,A,0,1,,,,,
4125,07/11/2013,D,0,5,,,,,
4126,14/12/2013,D,1,2,,,,,
4127,07/07/2014,D,1,8,,,,,
4128,27/11/2013,D,1,4,,,,,
4130,24/01/2014,A,0,1,,,,,
4134,05/02/2013,D,1,6,,,,,
4135,03/02/2014,D,1,3,,,,,
4136,20/02/2014,D,0,5,,,,,
4137,09/04/2013,A,1,8,,,,,
4139,01/06/2014,D,1,8,,,,,
4140,25/04/2013,A,0,1,,,,,
4141,20/02/2013,D,0,6,,,,,
4143,28/12/2013,D,0,1,,,,,
4144,22/03/2013,D,0,9,,,,,
4145,10/11/2014,D,1,10,,,,,
4146,16/05/2014,D,1,5,,,,,
